UserID,first_name,last_name,address,city,county,state,zip,phone1
1,James,Butt,6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927
2,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388
3,Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749
4,Lenna,Paprocki,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412
5,Donette,Foller,34 Center St,Hamilton,Butler,OH,45011,513-570-1893
6,Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484
7,Mitsue,Tollner,7 Eads St,Chicago,Cook,IL,60632,773-573-6914
8,Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500
9,Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147
10,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723
11,Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229
12,Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414
13,Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651
14,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425
15,Cammy,Albares,56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195
16,Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385
17,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635
18,Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598
19,Yuki,Whobrey,1 State Route 27,Taylor,Wayne,MI,48180,313-288-7937
20,Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147
21,Bette,Nicka,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615
